Part No.,MODEL,S/N,配件,BIN ID,Status,狀態,借用人,"借用單
編號",出借人,借用日,到期日,入庫日期,備註,"最後
盤點日",Sales Requester,Purpose
185845-03,10 Pos Modular Plug to 9 Pos Dsub Plug,Cable 1951,,KDR-e化,V,4,,,,,,2011/9/30,,,,
783344-01,10 Gigabit SFP+ Ethernet Cable(3M)-ETTUS Research,627540514,,ME-Fred,V,4,,,,,,2017/4/28,,2017/5/4,,
785853-01,Win10 IOT LTSB 2016,32060,,ME-Fred,V,4,,,,,,2017/9/19,,2017/10/16,,
785681-01,SFP+ 10GIG Copper,1503124U-0137,,ME-Fred,V,4,,,,,,2017/10/13,,2019/10/1,,
786300-01,1200W Power Supply for  PXIe-1092 or 1095 Chassis,1019L03506,,ME-Fred,V,4,,,,,,2019/6/26,,2019/10/30,,
786300-01,1200W Power Supply for  PXIe-1092 or 1095 Chassis,1019L03508,,ME-Fred,V,4,,,,,,2019/6/26,,2019/10/30,,
786300-01,1200W Power Supply for  PXIe-1092 or 1095 Chassis,0919L03200,,ME-Fred,V,4,,,,,,2019/6/27,,2019/10/30,,
786300-01,1200W Power Supply for  PXIe-1092 or 1095 Chassis,1019L03474,,ME-Fred,V,4,,,,,,2019/6/27,,2019/10/30,,
786300-01,1200W Power Supply for  PXIe-1092 or 1095 Chassis,1019L03479,,ME-Fred,V,4,,,,,,2019/6/27,,2019/10/30,,
786300-01,1200W Power Supply for  PXIe-1092 or 1095 Chassis,1019L03477,,ME-Fred,V,4,,,,,,2019/6/27,,2019/10/30,,
786300-01,1200W Power Supply for  PXIe-1092 or 1095 Chassis,0919L03194,,ME-Fred,V,4,,,,,,2019/6/27,,2019/10/30,,
778796-01,1394 Cable ,Cable 1943,,郭皇志,V,4,,,,,,2007/5/9,,,,
778796-01,1394 Cable ,Cable 1942,,庫-FSE(N6)-Vivian,V,4,,,,,,2007/5/9,,,,
778796-01,1394 Cable ,Cable 1941,,庫-FSE(M1)-Andrew,V,4,,,,,,2007/4/25,,2015/11/4,,
外購(有鎖頭),1394 Cable ,Cable 213,,右4,S,4,,,,,,,,2017/9/14,,
外購(有鎖頭),1394 Cable ,Cable 270,,右4,S,4,,,,,,,,,,
778796-01,1394 Cable ,Cable 204,,右4,S,4,,,,,,2007/5/10,,2018/2/9,,
778796-01,1394 Cable ,Cable 209,,右4,S,4,                       ,,,,,2007/6/27,,2018/5/15,,
外購,1394 Cable ,Cable 122,,右3,S,4,,,,,,2005/9/22,,,,
外購,1394 Cable ,Cable 123,,右3,S,4,,,,,,2005/9/22,,,,
778796-01,1394 Cable ,Cable 1965,,SDR-2,V,4,,,,,,2008/2/15,,,,
778796-01,1394 Cable ,Cable 1944,,庫-FSE(N7)-Kevin Y,V,4,,,,,,2007/5/9,,2019/5/23,,
153521B-01,"Cable Assy, DC5532 Power Input",153521-01-01,,庫-FSE(M4)-Serena,V,4,,,,,,2017/6/26,,2019/5/24,,
154542-03,1394b jackscrew to 1394b right angle down jackscrew,Cable 089,,右3,S,4,,,,,,2013/9/10,,,,
154542-03,1394b jackscrew to 1394b right angle down jackscrew,Cable 1150,,S4,V,4,,,,,,2013/9/10,,2014/1/16,,
154542-03,1394b jackscrew to 1394b right angle down jackscrew,Cable 1151,,S4,V,4,,,,,,2013/9/10,,2014/1/16,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB6403372,,右4,L,2,Steve,,Vivian H,2018/2/7,,2013/9/25,,2017/12/19,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB6403373,,右4,L,2,Steve,,Vivian H,2018/2/7,,2013/9/25,,2017/4/18,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB6403379,,右4,L,2,Steve,,Vivian H,2013/10/17,,2013/9/25,,2013/10/17,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",HB6403380,,右4,L,2,Steve,,Vivian H,2013/10/17,,2013/9/25,,2013/10/17,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5F361,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5F378,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5F4C8,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F53F87,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F50FEB,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F53F85,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F53F80,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F53F7F,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F542D5,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F53F7C,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
781915-01,"144MHz, 400 MHz, and 1200 MHz Tri-band 7-inch vertical antenna",F5C06B,,MDR-USRP,V,2,Fred,,Vivian H,2019/10/30,,2015/6/30,,2019/10/30,,
